temperature,humidity,wind_speed,cloud_cover,pressure,visibility,irradiance,solar_output
14.85,68.91,22.69,91.36,1010.43,12.59,710.26,1.2
45.39,80.68,6.03,52.54,953.0,18.72,442.66,40.648
33.8,28.79,30.53,72.49,969.23,14.15,519.1,1.793
26.73,64.36,21.46,43.6,1022.37,2.27,788.4,6.091
3.27,59.32,5.5,63.0,997.87,4.8,963.94,41.782
3.27,84.12,33.68,34.06,1037.8,5.64,299.44,6.81
-1.92,91.08,18.14,30.12,987.88,6.6,376.28,13.429
40.91,6.15,2.55,57.82,1031.98,14.22,1023.81,84.809
26.86,69.03,21.94,49.81,989.9,12.7,636.36,15.116
32.53,9.92,8.86,57.95,1042.92,5.24,196.86,12.468
-3.91,57.14,28.13,28.67,1040.98,1.88,730.06,7.325
46.41,32.33,28.62,36.7,977.91,4.45,1089.84,1.954
39.12,34.14,34.26,8.39,1033.59,24.61,905.8,9.602
6.25,38.53,17.57,5.23,1029.76,11.82,820.32,86.164
4.64,64.02,15.92,25.35,966.07,21.71,228.85,20.814
4.72,36.73,26.37,7.42,1007.43,21.25,963.75,17.619
11.12,74.61,4.64,10.38,952.27,12.89,578.37,134.928
22.81,43.43,19.14,81.29,1028.67,17.73,978.22,4.546
17.89,11.49,19.12,3.89,962.45,4.98,362.81,21.946
10.44,79.46,3.13,65.89,952.08,17.27,68.26,0.814
27.43,32.15,14.63,27.26,985.02,6.96,523.57,37.437
2.39,46.11,29.86,87.15,1002.69,20.84,296.82,0.0
10.48,70.12,29.97,48.5,1030.49,2.28,786.75,0.0
14.42,36.58,3.47,30.56,1042.42,19.37,1052.82,233.51
19.17,10.38,3.18,51.76,988.95,2.68,760.07,38.676
36.61,40.52,9.19,38.2,951.04,22.05,975.63,110.772
5.58,94.72,30.62,56.43,1019.91,7.74,498.33,0.0
22.25,65.96,4.51,11.45,1001.52,16.43,848.8,229.085
26.4,68.79,25.2,99.7,989.79,12.29,927.35,2.302
-2.54,65.07,3.54,42.56,975.93,9.28,781.96,89.895
27.2,23.9,21.81,34.82,995.24,16.21,558.56,17.897
4.04,44.74,12.46,71.02,978.87,23.7,688.45,25.12
-1.55,76.34,27.61,36.39,1020.7,1.22,770.56,6.773
45.29,14.63,8.18,83.33,999.39,22.99,278.39,4.599
46.18,31.4,22.37,45.43,1032.68,15.31,890.54,12.817
37.85,31.25,8.25,71.96,999.35,20.22,1045.36,46.641
11.14,46.04,24.98,10.75,968.83,9.72,511.76,1.451
0.18,98.14,30.58,84.61,1030.11,11.9,771.17,8.246
31.26,11.41,4.44,73.57,1000.72,21.75,810.73,45.924
18.33,54.28,30.33,21.17,965.68,10.49,728.47,12.972
1.47,22.04,20.78,14.53,1007.35,13.46,601.83,34.579
21.24,97.21,4.45,31.63,980.77,0.7,969.81,51.68
-3.18,15.76,14.96,97.61,1029.44,4.13,493.82,0.228
43.19,43.34,5.63,25.68,990.33,16.11,67.21,14.916
8.72,75.1,24.51,45.61,1017.64,17.98,929.01,5.413
30.11,71.93,26.56,3.0,954.55,14.65,741.38,1.678
11.52,45.16,3.7,39.72,984.6,3.75,934.18,80.893
22.56,37.92,17.71,57.13,1043.32,11.25,152.4,0.134
23.98,42.77,28.51,95.31,1025.85,9.01,33.83,4.451
4.8,30.11,32.77,51.67,960.99,12.49,1027.81,10.319
46.39,24.51,17.97,81.91,972.78,21.78,162.5,0.0
36.08,50.89,33.26,54.71,977.98,19.44,890.62,8.121
44.79,30.51,18.75,4.08,1010.04,2.28,905.53,41.853
42.43,32.31,13.8,31.5,1020.7,22.28,779.58,74.883
26.69,67.39,29.69,57.55,1019.95,11.9,144.39,0.0
43.86,97.01,17.25,95.06,995.99,18.65,734.14,1.124
-0.31,62.35,16.52,85.91,1026.08,3.67,978.0,7.819
5.39,12.31,17.16,22.84,988.71,16.83,468.08,35.634
-2.6,12.18,29.64,22.01,957.39,6.06,454.87,3.065
12.24,95.39,29.12,20.12,1001.44,11.07,487.14,2.608
15.6,33.24,14.12,92.25,1040.23,0.62,90.5,1.655
9.38,13.75,11.67,85.27,1024.3,3.96,981.23,9.564
38.92,61.91,17.22,77.49,1002.87,2.48,956.1,4.65
13.91,64.25,20.05,39.27,1009.68,6.15,1097.7,29.407
9.89,66.61,8.34,50.44,1038.06,2.68,643.7,38.695
23.76,30.4,27.79,46.43,987.83,17.36,826.31,4.074
2.47,6.44,17.03,25.34,978.14,0.92,222.94,3.009
37.52,96.68,11.69,50.5,1042.72,15.52,734.28,48.449
-1.05,28.83,3.74,3.05,1031.34,3.69,714.71,144.482
47.31,69.22,8.36,13.18,977.3,23.64,991.33,184.811
35.93,72.13,33.22,88.66,991.38,23.34,913.87,7.557
5.53,62.95,10.68,75.17,986.51,5.79,1032.31,19.87
